D1,D2,D3,clearances,rollover,fracture,burr height,Burnish
0.40251147,1.39748853,1.421429518,0.3,13.58885017,77.03614983,14.9825784,9.375
0.40251147,1.39748853,1.421429518,0.4,18.65671642,71.67115243,19.96268657,9.672131148
0.98308085,0.81691915,1.956878214,0.3,13.27868852,77.22867645,8.68852459,9.492635025
0.98308085,0.81691915,1.956878214,0.4,18.0385289,71.49993264,16.98774081,10.46153846
1.161723546,0.638276454,1.596257612,0.3,14.07035176,76.50816064,4.522613065,9.421487603
1.161723546,0.638276454,1.596257612,0.4,18.07628524,71.05056814,11.27694859,10.87314662
1.240819654,0.559180346,0.509521274,0.3,13.70716511,76.35494669,0,9.937888199
1.240819654,0.559180346,0.509521274,0.4,18.69158879,68.44019416,0,12.86821705
0.056488411,1.743511589,0.5419784,0.3,13.78737542,77.3017335,7.80730897,8.910891089
0.056488411,1.743511589,0.5419784,0.4,18.3745583,69.47590899,19.96466431,12.14953271
0.834732451,0.965267549,1.310283846,0.3,12.92834891,78.54451931,5.607476636,8.527131783
0.834732451,0.965267549,1.310283846,0.4,18.30985915,70.07564332,18.30985915,11.61449753
0.573574716,1.226425284,1.602703738,0.3,13.81118881,76.5640151,13.98601399,9.624796085
0.573574716,1.226425284,1.602703738,0.4,18.56392294,71.04327837,20.14010508,10.39279869
1.493012684,0.306987316,0.137999312,0.3,12.65377856,75.74692443,12.12653779,11.59929701
1.493012684,0.306987316,0.137999312,0.4,18.47826087,68.92453851,0,12.59720062
0.308445301,1.491554699,0.341582336,0.3,13.53135314,76.08973418,5.610561056,10.37891269
0.308445301,1.491554699,0.341582336,0.4,18.18936877,70.75452562,8.139534884,11.05610561
1.777848482,0.022151518,0.068665176,0.3,13.04347826,75.8272255,13.91304348,11.12929624
1.777848482,0.022151518,0.068665176,0.4,13.88888889,74.59150327,5.065359477,11.51960784
0.667979833,1.132020167,0.772154978,0.3,14.02157165,73.7084897,4.468412943,12.26993865
0.667979833,1.132020167,0.772154978,0.4,17.80104712,70.37286592,11.51832461,11.82608696
1.383047931,0.416952069,1.753369276,0.3,13.55371901,74.7107438,6.280991736,11.73553719
1.383047931,0.416952069,1.753369276,0.4,17.5787728,72.10769584,8.457711443,10.31353135
0.136043146,1.663956854,0.875621796,0.3,13.35676626,78.40600145,14.76274165,8.23723229
0.136043146,1.663956854,0.875621796,0.4,18.07017544,70.89193329,19.8245614,11.03789127
0.871855831,0.928144169,1.000909888,0.3,12.89256198,78.08722029,5.123966942,9.020217729
1.583812813,0.216187187,1.084968452,0.3,12.85008237,77.46190449,9.731466223,9.688013136
1.583812813,0.216187187,1.084968452,0.4,18.46635368,69.61414168,15.1799687,11.91950464
0.98308085,0.81691915,1.956878214,0.2,9.724473258,82.33387358,13.61426256,8.427876823
1.161723546,0.638276454,1.596257612,0.2,9.587955626,82.2503962,13.62916006,8.478605388
1.240819654,0.559180346,0.509521274,0.2,9.821428571,84.9702381,2.976190476,5.729166667
0.056488411,1.743511589,0.5419784,0.2,8.874801902,82.72583201,14.26307448,7.923930269
0.834732451,0.965267549,1.310283846,0.2,9.285714286,80.15873016,13.01587302,9.444444444
0.573574716,1.226425284,1.602703738,0.2,9.73871734,82.18527316,12.90577989,8.551068884
0.308445301,1.491554699,0.341582336,0.2,9.061102832,84.20268256,8.345752608,6.706408346
0.667979833,1.132020167,0.772154978,0.2,9.047619048,82.53968254,14.52380952,8.80952381
1.383047931,0.416952069,1.753369276,0.2,9.651898734,83.5443038,9.17721519,6.64556962
0.136043146,1.663956854,0.875621796,0.2,9.206349206,83.44444444,12.93650794,6.666666667
0.871855831,0.928144169,1.000909888,0.2,8.823529412,82.03497615,13.91096979,8.6645469
1.583812813,0.216187187,1.084968452,0.2,9.538002981,83.01043219,5.797317437,6.408345753
0.40251147,1.39748853,1.421429518,0.2,10.08695652,82.89836159,11.47826087,7.014681892
